序号	代码	名称	最新价	涨跌幅	涨跌额	成交量	成交额	振幅	最高	最低	今开	昨收	量比	换手率	市盈率-动态	市净率	总市值	流通市值	涨速	5分钟涨跌	60日涨跌幅	年初至今涨跌幅
196	002520	日发精机	7.08	5.99	0.4	638729.0	447050951.33	8.38	7.18	6.62	6.7	6.68	2.43	8.9	-12.01	19.39	5311735811.0	5079476411.0	0.57	0.28	16.07	23.13
200	002915	中欣氟材	25.86	5.94	1.45	200567.0	510370585.91	7.09	26.15	24.42	24.42	24.41	1.38	6.96	777.59	6.45	8416612178.0	7449810218.0	-0.27	-0.15	44.47	102.35
216	603906	龙蟠科技	15.08	5.82	0.83	414009.0	622360796.0	10.74	15.55	14.02	14.09	14.25	3.61	7.33	-60.66	3.33	10330989857.0	8521389857.0	0.07	-0.07	6.2	45.56
248	603090	宏盛股份	43.97	5.44	2.27	60753.0	257356429.0	11.75	44.66	39.76	41.7	41.7	1.47	6.08	48.01	7.39	4397000000.0	4397000000.0	0.21	0.37	81.24	155.49
260	002125	湘潭电化	15.56	5.28	0.78	493384.0	758900150.45	6.5	15.64	14.68	14.72	14.78	1.38	7.84	38.9	3.24	9794735454.0	9794735454.0	0.06	0.06	50.05	56.85
262	603078	江化微	19.88	5.24	0.99	204540.0	398173558.0	7.09	20.07	18.73	18.9	18.89	2.02	5.3	79.74	4.0	7666468490.0	7666468490.0	-0.3	-0.2	15.99	19.18
272	002217	合力泰	3.88	5.15	0.19	2979980.0	1135987954.68	6.78	3.93	3.68	3.74	3.69	1.23	5.25	1284.22	15.54	29020067841.0	22039709077.0	0.0	0.26	77.98	62.34
282	603031	安孚科技	38.15	5.01	1.82	115716.0	442293074.0	7.98	39.32	36.42	37.35	36.33	3.01	5.48	45.14	3.37	9618524839.0	8054228000.0	0.05	0.29	37.28	34.52
293	000049	德赛电池	25.6	4.96	1.21	236801.0	601377805.02	7.18	25.9	24.15	24.42	24.39	3.91	6.16	50.47	1.51	9846746470.0	9844092467.0	0.12	0.08	21.44	10.44
361	002716	湖南白银	6.04	4.5	0.26	1405953.0	844520845.31	5.36	6.11	5.8	5.8	5.78	1.4	6.36	137.08	5.07	17051455422.0	13351293692.0	-0.17	-0.17	50.25	78.17
377	600338	西藏珠峰	12.53	4.42	0.53	485856.0	604762315.0	5.92	12.68	11.97	12.01	12.0	1.64	5.31	19.04	2.76	11455053405.0	11455053405.0	-0.24	-0.32	20.37	17.98
385	601908	京运通	4.29	4.38	0.18	1466578.0	630195314.0	7.54	4.43	4.12	4.13	4.11	2.32	6.07	-24.43	1.18	10358646274.0	10358646274.0	0.23	0.23	36.19	40.66
391	603396	金辰股份	30.73	4.35	1.28	93300.0	282059879.0	6.08	30.92	29.13	29.49	29.45	3.66	6.74	55.43	1.65	4256949399.0	4256949399.0	0.07	-0.26	27.67	14.88
394	001283	豪鹏科技	75.65	4.33	3.14	67716.0	514774511.26	6.51	77.6	72.88	73.05	72.51	2.55	8.64	38.57	2.31	7459459777.0	5931303300.0	-0.34	-0.36	49.54	31.68
408	601086	国芳集团	12.69	4.27	0.52	631236.0	787870313.0	8.05	12.98	12.0	12.46	12.17	2.99	9.48	186.59	5.44	8451540000.0	8451540000.0	0.0	-0.63	-3.13	119.17
495	002245	蔚蓝锂芯	17.82	3.91	0.67	611803.0	1084664806.93	5.54	17.97	17.02	17.14	17.15	1.66	5.64	30.86	2.84	20556920999.0	19333646072.0	-0.11	0.06	50.51	67.64
506	600158	中体产业	9.15	3.86	0.34	753300.0	704820097.0	5.68	9.63	9.13	9.63	8.81	7.65	7.85	-179.94	3.38	8779544563.0	8779544563.0	-0.22	-0.22	2.92	10.91
536	000821	京山轻机	13.49	3.77	0.49	482225.0	646847460.05	6.15	13.7	12.9	13.0	13.0	2.16	7.98	20.39	2.0	8402580755.0	8156738806.0	0.07	-0.15	26.79	8.97
555	601069	西部黄金	28.11	3.69	1.0	473527.0	1287111132.0	10.77	28.52	25.6	25.6	27.11	2.46	6.92	83.38	5.32	25608185348.0	19227036484.0	0.04	0.46	31.17	146.58
560	002062	宏润建设	9.27	3.69	0.33	583012.0	518793467.69	9.62	9.35	8.49	8.9	8.94	1.33	5.18	40.05	2.31	11469501141.0	10425913593.0	-0.32	0.22	115.58	85.03
581	002378	章源钨业	13.79	3.61	0.48	683432.0	933985765.66	4.58	13.9	13.29	13.29	13.31	1.2	5.72	71.97	7.66	16567549614.0	16480723679.0	-0.43	-0.51	69.0	115.47
588	600478	科力远	6.37	3.58	0.22	886545.0	562719315.0	5.85	6.42	6.06	6.07	6.15	3.02	5.32	103.57	3.75	10609495635.0	10609495635.0	-0.16	-0.16	28.43	54.24
590	002108	沧州明珠	4.06	3.57	0.14	963432.0	390614255.05	5.1	4.11	3.91	3.93	3.92	3.01	5.84	40.83	1.34	6761502271.0	6692356646.0	-0.25	-0.25	23.03	16.33
595	603612	索通发展	26.19	3.56	0.9	314258.0	816310759.0	6.37	26.36	24.75	24.92	25.29	1.64	6.31	12.47	2.34	13045355781.0	13045355781.0	-0.11	0.34	52.0	93.86
633	000833	粤桂股份	14.39	3.45	0.48	392079.0	563854003.92	4.74	14.62	13.96	13.96	13.91	1.18	8.64	24.62	3.13	11541963160.0	6528772154.0	-0.28	-0.07	24.91	27.91
711	002526	山东矿机	4.17	3.22	0.13	897522.0	372881585.99	6.19	4.26	4.01	4.05	4.04	1.82	5.07	37.75	2.32	7434250296.0	7385422106.0	-0.48	-0.24	9.16	18.47
723	603212	赛伍技术	12.95	3.19	0.4	355406.0	457726739.0	6.14	13.11	12.34	12.51	12.55	2.24	8.12	-39.29	2.18	5665503736.0	5665503736.0	-0.08	-0.08	38.06	27.21
783	002178	延华智能	7.4	3.06	0.22	493929.0	361005761.2	8.64	7.62	7.0	7.19	7.18	2.89	6.94	489.41	12.14	5269932207.0	5267195369.0	-0.4	-0.4	25.85	23.33
815	002272	川润股份	15.85	2.99	0.46	264790.0	415144169.45	4.03	15.96	15.34	15.55	15.39	1.04	6.85	-163.02	5.16	7685305205.0	6125911641.0	-0.25	-0.31	58.82	60.91
975	600110	诺德股份	7.61	2.7	0.2	1553263.0	1178904363.0	7.29	7.75	7.21	7.21	7.41	2.08	8.95	-91.15	2.34	13204726893.0	13204726893.0	-0.13	-0.13	118.68	90.25
1017	002623	亚玛顿	22.56	2.64	0.58	100436.0	226083235.58	4.14	22.9	21.99	22.0	21.98	3.15	5.06	-141.9	1.56	4490850000.0	4481230980.0	0.0	-0.09	53.05	50.9
1251	600843	上工申贝	12.96	2.29	0.29	400409.0	517631563.0	5.37	13.08	12.4	12.51	12.67	1.84	8.53	-66.46	3.11	9242637581.0	6081126581.0	0.08	-0.08	19.23	3.02
